APID,Vendor,InvoiceDate,DueDate,Amount,Currency,Status,PaidDate,Terms,Amount_GBP
AP10000,Fast Travel,2024-01-13,2024-02-12,3748.89,USD,Partial,,Net 30,2961.62
AP10001,Fast Travel,2024-12-12,2025-01-11,8225.96,CAD,Paid,2024-12-18,Net 30,4771.06
AP10002,BluePrints,2024-02-17,2024-03-18,7629.79,GBP,Partial,,Net 30,7629.79
AP10003,Global Office,2024-11-28,2024-12-28,6350.85,AUD,Partial,,Net 30,3302.44
AP10004,TechFlow Solutions,2024-01-04,2024-02-03,2478.92,AUD,Paid,2024-01-17,Net 30,1289.04
AP10005,ABC Supplies,2024-04-20,2024-05-20,5115.26,GBP,Paid,2024-04-28,Net 30,5115.26
AP10006,Nexus Logistics,2024-06-25,2024-07-25,12126.21,AUD,Partial,,Net 30,6305.63
AP10007,Fast Travel,2024-07-12,2024-08-11,4468.36,CAD,Paid,2024-08-04,Net 30,2591.65
AP10008,Global Office,2024-12-26,2025-01-25,9952.82,EUR,Open,,Net 30,8459.9
AP10009,Global Office,2024-02-21,2024-03-22,6855.81,EUR,Open,,Net 30,5827.44
AP10010,Nexus Logistics,2024-06-30,2024-07-30,4077.97,GBP,Partial,,Net 30,4077.97
AP10011,ABC Supplies,2024-09-30,2024-10-30,2534.7,AUD,Paid,2024-11-03,Net 30,1318.04
AP10012,Starlight Media,2024-04-22,2024-05-22,12658.49,GBP,Open,,Net 30,12658.49
AP10013,BluePrints,2024-06-10,2024-07-10,1086.21,CAD,Partial,,Net 30,630.0
AP10014,Nexus Logistics,2024-04-18,2024-05-18,5994.92,AUD,Open,,Net 30,3117.36
AP10015,TechFlow Solutions,2024-03-12,2024-04-11,8464.39,EUR,Partial,,Net 30,7194.73
AP10016,Titan Manufacturing,2024-08-07,2024-09-06,6051.07,USD,Open,,Net 30,4780.35
AP10017,Starlight Media,2024-09-09,2024-10-09,802.03,GBP,Open,,Net 30,802.03
AP10018,ABC Supplies,2024-12-14,2025-01-13,1046.56,AUD,Partial,,Net 30,544.21
AP10019,Apex Consulting,2024-09-27,2024-10-27,8343.07,GBP,Partial,,Net 30,8343.07
AP10020,Fast Travel,2024-12-15,2025-01-14,11288.08,EUR,Open,,Net 30,9594.87
AP10021,TechFlow Solutions,2024-08-10,2024-09-09,148.36,EUR,Partial,,Net 30,126.11
AP10022,ABC Supplies,2024-09-16,2024-10-16,13070.73,EUR,Partial,,Net 30,11110.12
AP10023,Starlight Media,2024-11-07,2024-12-07,5671.32,USD,Partial,,Net 30,4480.34
AP10024,Starlight Media,2024-01-01,2024-01-31,7380.23,GBP,Paid,2024-02-03,Net 30,7380.23
AP10025,TechFlow Solutions,2024-05-02,2024-06-01,13182.34,GBP,Open,,Net 30,13182.34
AP10026,Apex Consulting,2024-02-05,2024-03-06,8037.32,USD,Open,,Net 30,6349.48
AP10027,Apex Consulting,2024-10-08,2024-11-07,7962.34,CAD,Paid,2024-11-12,Net 30,4618.16
AP10028,Global Office,2024-10-03,2024-11-02,10379.03,EUR,Paid,2024-10-29,Net 30,8822.18
AP10029,Nexus Logistics,2024-08-12,2024-09-11,6827.14,USD,Open,,Net 30,5393.44
AP10030,Fast Travel,2024-06-22,2024-07-22,-2814.22,CAD,Open,,Net 30,-1632.25
AP10031,BluePrints,2024-02-06,2024-03-07,977.22,GBP,Open,,Net 30,977.22
AP10032,Nexus Logistics,2024-02-06,2024-03-07,4249.31,AUD,Open,,Net 30,2209.64
AP10033,Starlight Media,2024-03-08,2024-04-07,13247.51,CAD,Paid,2024-03-20,Net 30,7683.56
AP10034,Apex Consulting,2024-07-27,2024-08-26,1544.27,AUD,Paid,2024-08-14,Net 30,803.02
AP10035,Green Energy Co,2024-08-27,2024-09-26,907.15,GBP,Open,,Net 30,907.15
AP10036,Green Energy Co,2024-06-22,2024-07-22,1728.11,USD,Open,,Net 30,1365.21
AP10037,Starlight Media,2024-08-17,2024-09-16,2833.97,AUD,Open,,Net 30,1473.66
AP10038,Fast Travel,2024-08-14,2024-09-13,12853.91,GBP,Open,,Net 30,12853.91
AP10039,Starlight Media,2024-01-08,2024-02-07,13902.87,USD,Open,,Net 30,10983.27
AP10040,Green Energy Co,2024-09-05,2024-10-05,12983.29,GBP,Open,,Net 30,12983.29
AP10041,Green Energy Co,2024-01-02,2024-02-01,4051.53,AUD,Paid,2024-01-20,Net 30,2106.8
AP10042,Starlight Media,2024-12-04,2025-01-03,2406.47,EUR,Open,,Net 30,2045.5
AP10043,BluePrints,2024-10-23,2024-11-22,1008.27,EUR,Open,,Net 30,857.03
